id,productid,model
"4","3","HP"
"3","3","DELL Vostro"
"2","2","4.7GB"
"1","1","700MB "
"5","4","85A"
"6","4","280A"
"7","4","80A"
"8","5","MAXELL"
"9","6","EPSON L-130"
"10","6","EPSON L-110"
"11","7","Logitech"
"12","8","Netis"
"13","8","TP-LINK"
"14","9",""
"15","10","1 TB"
"16","10","512GB"
"17","10","4 TB"
"18","11","Logitech H111"
"19","12","INK SET"
"20","13","USB A4tech"
"21","14","18.5 inch LED"
"22","14","22 inch LED"
"23","15","DDR2"
"24","16","USB A4tech"
"25","17",""
"26","18","85A"
"27","19","Velotop"
"28","20","Epson LQ-590"
"29","21","CANON 6030"
"30","22","2GB DDR2"
"31","22","4GB DDR3"
"32","22","4GB DDR4"
"33","22","8GB DDR4"
"34","23","EPSON LQ-590"
"35","23","EPSON LQ-2090"
"36","24","Micronet"
"37","25",""
"38","26","EPSON v39"
"39","26","EPSON v19"
"40","27","Capacity:650VA ;Input Voltage 220Vac"
"41","28","12V 7Ah"
"42","29",""
"43","30",""
"44","31","Logitech C270"
"45","11","Logitech H110"
"46","32","Adata "
"47","32","Transcend"
"48","32","Apacer"
"49",\N,\N
"50","10","SSD 120GB"
"51","10","SSD 240GB"
"52","10","SSD 512GB"
"53","16","USB Logitech"
"54","13","USB Logitech"
"0",\N,\N
